isDGA,domain,ngrams
dga,tyopcrkqgxcfm,744.6709401709401
dga,72j5rn1l9mzleo6203v1ogenfl,715.217264957265
dga,thenrest,1918.797619047619
dga,15ihbm71utcnfa8dk1mmgoobl9,682.2694017094018
dga,x1d6ou7e7kofk60ayhq74x7e,544.1781400966183
dga,nvptudwjfcmv,690.3878787878789
dga,dtvbafg,835.4825396825398
dga,doqlkpjszrcacin3d7j7k931,702.2881532718488
dga,tacygbtrbuytir,1156.370879120879
dga,ogpbfninqpxa,969.5292929292931
dga,pkllwwkklkgbs,609.4978632478633
dga,ogwpkevwsdhlm,844.5281662781662
dga,kllpyohlrmedmxy,908.9059829059829
dga,rkptqwwluipqhm,720.7359584859583
dga,fgvpimdffyanxhh,729.33663003663
dga,tubphtrdyyhed,1003.3916083916083
dga,rsjhcuwsvqhqa,786.4893162393163
dga,ydgghhwyuqsy,553.1090909090909
dga,1f7ewbe1agxr7dwegr4s9tnozw,872.9307692307692
dga,1ll2hfm1dc3ry3mwd93be2pa69,567.3405128205128
dga,fmhlayeprxkvcjrtpxswsqsbu,877.9661352657005
dga,bvxjoqrwnbhuhij,646.6907203907203
dga,wcavynybnkwraa,973.3400488400489
dga,vxfouucqbrbts,803.3914141414142
dga,ukoldwwbgun,734.2067340067341
dga,umjoklxgauui,816.1969696969696
dga,southearth,1500.1601851851854
dga,uckjmzeqsomncmfaytrvsaqempznj,964.8053122909445
dga,spendpeace,1713.9592592592592
dga,njkznfharknznzzpmfgucylvozx,699.3016714150048
dga,otjqqfqgdfohvhipepvk,721.487134502924
dga,gtqtkaqs,942.7698412698413
dga,ehsr5aiw2g48136h2tr1tn1bfk,719.9754273504273
dga,1xfstzpkqwszqa2b2gj19xztpj,467.02666666666664
dga,qcyimjtdqgkn,736.820707070707
dga,dkdnvrvvfhwj,587.3989898989898
dga,oaqmwxjwfblt,660.3282828282828
dga,rxiemsxcabdis,1289.0596348096349
dga,rbpnjisr,1210.7777777777778
dga,3hmd8c1dxpy3hcx4v0t1n6auy4,491.52358974358975
dga,1a2i38r1h2o30sx32d6wnpdowl,611.0700854700855
dga,irrvopwkcysbezljfydzhaqdmhh,801.5325166191833
dga,baoqksjchutm,853.0409090909092
dga,1gqok7710nnz5u24m2rlwzcbal,551.6777777777778
dga,10dw18h6vdu8y1j3zqqj1l9ss3o,366.2578347578348
dga,mhtnkeqgtqyjuka,831.6059829059828
dga,xfgbyvak,505.8214285714286
dga,pnpzxpraqwkdvlvmbprxizpbrw,724.217264957265
dga,joingold,1258.3710317460316
dga,4mybo2t1z98v1jp46ew3x4201,333.57746376811593
dga,hdunigpfbitv,961.6530303030304
dga,septembercloth,1519.8025030525032
dga,yexttjcsrqsluy,1039.5494505494505
dga,1itta5p1ocxvhr1wtb2dn1gmaagd,848.7109618776285
dga,yimbnrhybvqw,688.7085858585859
dga,14wa72y1a4sr1h1fwbq8koedgqo,599.8497815764482
dga,1on1rer154d05g1qdyjer1mqiojm,784.8600936100937
dga,morwkbwobrcbaxconvcyttg,955.2677708764667
dga,tqaodkhdltoot,1122.7536907536908
dga,ptdrtbilwvnlokc,1054.9583638583638
dga,nrtrsdeyucxsplukcefaskytnr,1216.3114957264959
dga,spotroll,1421.0555555555557
dga,knxqgeerrhed,1306.3393939393939
dga,kfusgxajkakdx,663.7449494949495
dga,cwwitxweowbjbn,860.1456043956044
dga,dvbuhstmpouw,837.7363636363638
dga,rvcrgdmrwhzxibcmztmbltdmmj,794.0460256410257
dga,humanlift,1188.501322751323
dga,gxksyrmdctxphiapxpsy,871.9019493177389
dga,ovqvapvcpjxis,802.4642579642581
dga,fvatgpqwclpx,725.4954545454544
dga,xwxmmrztqsmvdifbyhvkmraqem,768.3295299145298
dga,madewore,1588.6666666666667
dga,qonwsurecqma,1211.0146464646464
dga,uzrwiswxkgpfyxn52i1ukrkhm,639.6263768115942
dga,abc158d56eeef544ef21daaaa9feb144,823.6487007168458
dga,tsyodcpvonpmidc,1104.1798534798534
dga,pjwsvgmsrvnn,920.381313131313
dga,dpfnigcqittyhqr,985.3228327228327
dga,1opqxm11xku6tv13xtrtt18exygt,629.7758784425451
dga,withbqguksdq,740.0282828282828
dga,hdifledvueisc,1294.795843045843
dga,hdqesqdiuvvfrpa,966.6263736263736
dga,foxhndkbdseb,932.1696969696969
dga,oudjtyov,851.4761904761905
dga,nymjfcnicxyu,815.6353535353537
dga,itohetciikjqpcmjfhqjrxcijr,942.7473931623932
dga,eqsfcoknmbuthvxquvu,791.6945877766311
dga,plbxgbmduasxg,746.4312354312355
dga,wunhyfltomimg,913.1796814296813
dga,evvcewytorhlc,1152.5998445998446
dga,ajjpeymqkxssjoc,839.3796092796092
dga,15luj5sxy9z5j3elh5uftba90,522.7642270531401
dga,kexngyjudoptjv,818.2814407814408
dga,mnlyklnpmoaoe,1170.1561771561771
dga,13kwgxh1k5wdpi1pm7zv715p3nau,422.285816035816
dga,djjyqgbcusqutc,656.1285103785104
dga,ixdeythowshsj,1060.5499222999222
dga,cihutkvkgmdyntgrkkvkfup,740.2292176422611
dga,dreamcolor,1531.8592592592593
dga,triedeasy,1783.2896825396826
dga,jxvqpcvphikofrbalw,716.0709422657951
dga,yqfxjerlehoe,1149.148484848485
dga,lookgreen,1559.2936507936508
dga,10eilodq5r9wu1h2mnid186luf8,669.141918328585
dga,axjmhkjadjr,703.605387205387
dga,cyctfueygubiypxwmjnibcq,804.2964740573437
dga,bsyhkkhgtewqw,714.0738150738152
dga,sundaynovember,1372.8195970695972
dga,vaewhakifdpc,1017.7772727272727
dga,nrmvcxbfqvfojlo,714.5079365079364
dga,musicelse,1624.2824074074076
dga,1gy1xqkuhqzj8p19y312s8mhx,257.48611111111114
dga,rockguess,1360.4748677248676
dga,xafdoovwrwutc,897.3205128205128
dga,nfvehpbgujpxb,684.1144133644134
dga,visithigh,1275.832671957672
dga,dpoyyjvgwqpvo,558.8696581196581
dga,hwfpiibgkinptuy,924.3636141636142
dga,qnjsbymejpkku,712.6800699300699
dga,phpghxskgettphihxkkvci,850.196608946609
dga,rutgiarrwalcm,1297.0911033411032
dga,kbqwdecxxsut,813.8949494949494
dga,ftxjprwxslrkl,806.6688034188036
dga,llcuslxdls9jv2hxzi160gin3,715.4154830917873
dga,petwimamfpvsmfaaa,1162.4615196078432
dga,geemcypvbzpcmdyrgpqozxhy,753.8876262626263
dga,fadcprmegbqil,1067.4578477078478
dga,qkmjnvkzjvtjzgitskxkjnfeb,663.2162801932367
dga,sightgift,1208.0608465608466
dga,ykfnyenpkpmusc,926.1843711843712
dga,mehhtxrdmflij,969.0736208236207
dga,5jyah6n6971zsmak31d2jt4m,497.50016469038206
dga,womfgizpmbtajvfefausdvwlhqhq,775.8963844797178
dga,uqdruplruuohb,840.8084693084692
dga,74tn5tz7dbqb1xonwhxxi1hs0,593.8134782608696
dga,dcuuiglvv,815.1541005291006
dga,ev3z6ay8illj114ebd11oedm7r,784.500641025641
dga,fnhohxlhkybnagbijcto,880.9819688109161
dga,qxds8u1pex7841ifsza7xoceef,795.5266666666666
dga,gxpcyhgmengai,1050.420745920746
dga,bceidnalgels,1485.9727272727275
dga,mutzba1k13vr0mw9073owlem2,575.3259903381643
dga,i5ep531lfuanc1ytynl1mmkio4,844.1373076923077
dga,ujovjxtlvshmc,729.9794094794096
dga,71af3f42ab8f85a67ee1b2cfaeafd912,656.8596326164875
dga,mooevweurgwsfto,1172.4843711843712
dga,wmnlmnmyorspuwg,937.9065934065934
dga,1goalbzgjn37dmxctnfvib5w2,672.5241062801932
dga,xsfauihmebeif,1188.3545066045065
dga,okshiegjianzi6fo1rsmwnkq,1021.4684892402285
dga,aqbudetjhwsrkhculsovkha,950.1869314260617
dga,gqrfyleealpoiff,1152.0540903540902
dga,uqetaqihylyri,1132.0075757575758
dga,p35dbg3ne4u27gqnxk1ach2yj,552.8202657004831
dga,dpxrwvumbqdn,661.6424242424242
dga,klnrvjjglpvgo,736.2542735042734
dga,u9iswiifp54bd1vpp0lnexx9,739.3055006587615
dga,jgfvhlgrausleh,989.3177655677655
dga,1ljl1efyn49mwz3ccyv1o1dibz,587.205170940171
dga,5jvc23ry2zp31yesh86tzico1,631.9743961352657
dga,hhmrciktwpeoew,1120.2164224664227
dga,1dlamnb1jbo10r4yeud6ylrmuv,736.6591452991452
dga,5mvpg51kwg7q31enbhv215n33z4,386.018081671415
dga,tlgngurtirqx,1153.1934343434343
dga,nolybyhligaardwwqbmp,911.2637426900586
dga,btutgkppsairq,1054.1604506604506
dga,doumcvadlqdb,842.7979797979797
dga,dgehiucmzvkdyaehdcwcdsw,919.6281134324613
dga,gaddwiyspjiiyq,939.8507326007325
dga,cs1i883dzg9j6yfy6t1mdzsj1,476.57722222222225
dga,uponiron,1512.517857142857
dga,guwhydrulpgrbe,894.1040903540902
dga,129gtepj34erhuqy8cr1qdk554,599.0428205128204
dga,fcxeubngdxkg,762.1974747474748
dga,riohsdowhyhp,1002.0414141414141
dga,lkrhrwjawgcwnqt,824.6
dga,lgfgyqhwkttxol,694.0677655677656
dga,opmsxbliqxask,928.0464257964259
dga,epjubhrxjqschfwjrrr,818.895826166724
dga,abwvsuxaksophu,882.7112332112332
dga,souoxguglfijgmyjngiuoijtcxbeeq,960.9420361247948
dga,edidlkdgonqxh,1018.9590132090133
dga,wdtmgrmgnjlokf,827.46336996337
dga,eifnkusc,1253.970238095238
dga,1l21w8u1we86um1kprq56vfo41o,449.5565052231719
dga,udokeveglhffdtt,1045.3884004884005
dga,wwdogvftityyjcu,798.4747252747252
dga,bniwmlhwxngu,810.9853535353536
dga,suitnurntwwu,1218.7257575757574
dga,ljghuky,492.23015873015873
dga,mpwesvpdtteknb,1161.3937728937728
dga,unfywjeormrbmox,934.9990231990231
dga,2t8gzn1dvsvtsxsy6b1l3r6xg,647.5144444444444
dga,fkwvlf1bsjxpa1neyscu15z8i8f,648.0746248812916
dga,dasmafkgimtipot,1223.0395604395605
dga,owhk9e1xiftb611a933s1fsnb8t,674.8417853751188
dga,bbypsmbuvpyckr,674.9307081807082
dga,ubifnwlprjpa,933.8323232323233
dga,ekslaiocgvnwl,1218.5759518259517
dga,wgilljojytpvnftspixxzleil,978.1872705314009
dga,jy4m6w1cd4enxlby5g7asnkuf,655.6450483091787
dga,almdne1h85wth1to2gmaa397mg,805.3154273504273
dga,eqfmnsxmujog,873.8439393939393
dga,drotwoylf,1014.4398148148148
dga,sbpyqqfnlqeieci,1084.6684981684982
dga,cfrxowcdymuf,711.4808080808081
dga,qxdpveaudlmi,977.1151515151515
dga,uyjpqrlvpojsi,820.5277777777778
dga,i3wukceooawp1mlutz11e7qbm0,763.6247008547008
dga,tsxcerjrnivf5uihegn6jzw,1010.9196938327374
dga,kggnouootkqsroa,1111.4297924297923
dga,yfyutv1vg72hc31u70x1kmk21e,393.12205128205125
dga,gr9qlfy8m85z1m2n55112ctcma,507.85897435897436
dga,bnehwctfgeoaha,1228.7689255189255
dga,1vxhrnj13j9jd0ak1psb6xcs11,490.63589743589745
dga,ethruwdexnls,1289.2949494949496
dga,rlok6w17di79z1qdy83e71c0ra,610.9216666666667
dga,yo7o3t9fw2401al585i2ptdrr,665.7438888888889
dga,iaiggepwklst,1270.2025252525252
dga,yohytofuhkfg,688.5515151515151
dga,popdnsfcqoau,1040.0540404040403
dga,kbmvepysviqemj,893.185286935287
dga,hkp1381f7wqog1j9azrm15yi2o0,433.8698955365622
dga,12bkuoslurwdylhhk9f1may94z,570.4809829059828
dga,spendserve,1758.3842592592591
dga,a2g5q9saguym1dpr5dlmkv3xb,599.5971256038647
dga,knaucmytvwhakth,883.0166056166055
dga,obtvwvsmvucj,713.7590909090909
dga,pnlrgcqpnxsdtwogvkbajrtc,936.669521299956
dga,1chob2liqu89d1sur5mdmqy6e5,666.1072649572649
dga,4y2nre346cnz1ajnq4g1o6ejsn,789.009829059829
dga,cloudcross,1309.0657407407407
dga,13lvzq01lcrl841d3ibj2z9lng,499.72205128205127
dga,1407eqyidi4xfnkhymdcz37kw,544.1671014492753
dga,f8wcpo154522zjl7xkv1ucwyca,408.22512820512816
dga,rrigvggvgfrfpu,847.9285714285714
dga,hunqkybrpuhcru,762.2875457875457
dga,sfmnvoddeprlr,1201.3824786324785
dga,mzkvgyorugeplrdqiftscucaq,958.7646618357488
dga,mnr1ol1jlc2qe1iksfm016s2w6l,698.70465337132
dga,ceoggegeqtib,1369.1171717171717
dga,uponlate,1592.8313492063492
dga,kbssqduobqrxlnsfipcm,915.9454191033137
dga,nfwijlhfuugp,710.2474747474748
